セクション,セクション_ja,項目,項目_ja,2027年モデル PHEV チャンピオン版,2026年モデル PHEV 鯤鵬Pro,2026年モデル PHEV 鯤鵬Max,2026年モデル PHEV 乾崑Pro,2026年モデル PHEV 乾崑Max,2026年モデル PHEV 乾崑Ultra,2026年モデル PHEV 典蔵版,2026年モデル PHEV 山河4人乗り版,2026年モデル EV 鯤鵬Max,2026年モデル EV 乾崑Max,2026年モデル EV 乾崑Ultra,2025年モデル PHEV 4WD 卓越鯤鵬版,2025年モデル PHEV 4WD 卓越乾崑版,2025年モデル PHEV 4WD 尊貴鯤鵬版,2025年モデル PHEV 4WD 旗艦鯤鵬版,2025年モデル PHEV 超長航続世紀版,2025年モデル 先導シリーズ PHEV 超長航続 快適版,2025年モデル 先導シリーズ PHEV 超長航続 尊享版,2025年モデル EV 長航続世紀版,2025年モデル EV 4WD 卓越鯤鵬版,2025年モデル EV 4WD 卓越乾崑版,2025年モデル 先導シリーズ EV 超長航続 豪華版,2025年モデル 先導シリーズ EV 超長航続 快適版,2024年モデル PHEV 超長航続 卓越版,2024年モデル PHEV 超長距離プレミアム版,2024年モデル EV 長距離エクセレント版,2024年モデル EV 長距離プレミアム版,2024年モデル EV 超長距離エクセレント版,2024年モデル EV 超長距離プレミアム版,2024年モデル EV 超長距離フラッグシップ版,2026年モデル 夢想家9 EV 基本型,2026年モデル 夢想家9 PHEV 基本型
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,-,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车外灯光,外部照明,场景灯语,シーンライトメッセージ,-,-,-,-,-,●,●,●,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,辅助驾驶灯,運転支援ライト,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● 開閉不可パノラマサンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● 電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● 電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● 電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,-,-
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,-,-
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ウインドウワンタッチ昇降機能,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,-,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側窓多層防音ガラス,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席",● 前席,● 車両全体,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席",● 前席,● 前席,● 前席,● 車両全体,● 前席,● 車両全体,● 前席,● 車両全体,● 車両全体,-,-
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後席側窓サンシェード,● 電動,● 電動,● 電動,● 電動,● 電動,● 電動,● 電動,● 電動,● 電動,● 電動,● 電動,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,后风挡遮阳帘,リアウインドウサンシェード,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯",-,-
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,感応式ワイパー機能,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納",-,-
互联/智能化,互联/智能化,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-,-
互联/智能化,互联/智能化,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.4インチ,● 15.4インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.4インチ,● 15.6インチ,● 15.6インチ,● 15.4インチ,● 15.6インチ,● 15.4インチ,● 15.4インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 15.4インチ,● 15.6インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,-,-
互联/智能化,互联/智能化,中控屏幕分辨率,センターコンソール画面解像度,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 1920×720,● 1920×720,-,-,-,● 1920×720,● 1920×720,● 1920×720,● 1920×720,● 1920×720,● 1920×720,● 1920×720,● 1920×720,● 1920×720,-,-
互联/智能化,互联/智能化,中控屏幕像素密度,センターコンソール画面ピクセル密度,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 167PPI,● 167PPI,-,-,-,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,-,-
互联/智能化,互联/智能化,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,-,● 15.4インチ,● 15.4インチ,-,-,-,-,-,● 15.4インチ,-,-,● 15.4インチ,-,● 15.4インチ,● 15.4インチ,-,● 12.3インチ,● 12.3インチ,-,● 15.4インチ,-,-,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,-,-
互联/智能化,互联/智能化,副驾屏幕分辨率,助手席画面解像度,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 1920×720,● 1920×720,-,-,-,-,● 1920×720,● 1920×720,● 1920×720,● 1920×720,● 1920×720,● 1920×720,● 1920×720,● 1920×720,-,-
互联/智能化,互联/智能化,副驾屏幕像素密度,助手席画面ピクセル密度,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 167PPI,● 167PPI,-,-,-,-,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,● 167PPI,-,-
互联/智能化,互联/智能化,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,互联/智能化,手机互联/映射,スマホ連携/ミラーリング,● HUAWEI HiCar対応,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● 純正連携／ミラーリング,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● 純正連携／ミラーリング,● HUAWEI HiCar対応,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,-,-
互联/智能化,互联/智能化,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ",-,-
互联/智能化,互联/智能化,语音助手唤醒词,音声アシスタント起動ワード,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,-,-
互联/智能化,互联/智能化,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,互联/智能化,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 2ゾーン,● 2ゾーン,● 4ゾーン,● 2ゾーン,● 4ゾーン,● 4ゾーン,● 2ゾーン,● 2ゾーン,● 2ゾーン,● 4ゾーン,● 2ゾーン,● 4ゾーン,● 2ゾーン,● 4ゾーン,● 4ゾーン,-,-
互联/智能化,互联/智能化,语音连续识别,連続音声認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,互联/智能化,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,互联/智能化,手势控制,ジェスチャー操作,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,互联/智能化,面部识别,顔認証,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,-,●,●,-,-,-,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,互联/智能化,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,互联/智能化,车载智能系统,車載インテリジェントシステム,● HarmonySpace,● ラントゥ逍遥キャビン,● ラントゥ逍遥キャビン,● HarmonySpace,● HarmonySpace,● HarmonySpace,● HarmonySpace,● HarmonySpace,● ラントゥ逍遥キャビン,● HarmonySpace,● HarmonySpace,● ラントゥ逍遥キャビン,● HarmonySpace,● ラントゥ逍遥キャビン,● ラントゥ逍遥キャビン,-,-,-,-,● ラントゥ逍遥キャビン,● HarmonySpace,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,互联/智能化,车机智能芯片,車載スマートチップ,-,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,-,-,-,-,-,● Qualcomm Snapdragon 8295P,-,-,● Qualcomm Snapdragon 8295,-,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,-,● Qualcomm Snapdragon 8295,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,-,-
互联/智能化,互联/智能化,后排液晶屏幕,後席液晶画面,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,-,○,○,-,-,-,○,○,○,○,○,○,○,○,○,-,-
互联/智能化,互联/智能化,后排液晶屏幕尺寸,後席液晶画面サイズ,● 17.3インチ,● 17.3インチ,● 17.3インチ,● 17.3インチ,● 17.3インチ,● 17.3インチ,● 17.3インチ,● 50インチ,● 17.3インチ,● 17.3インチ,● 17.3インチ,-,-,● 17.3インチ,● 17.3インチ,-,○ 15.6インチ,○ 15.6インチ,-,-,-,○ 15.6インチ,○ 15.6インチ,○ 15.6インチ,○ 15.6インチ,○ 15.6インチ,○ 15.6インチ,○ 15.6インチ,○ 15.6インチ,○ 15.6インチ,-,-
互联/智能化,互联/智能化,后排液晶屏幕类型,後席液晶画面タイプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○ LCD,○ LCD,-,-,-,○ LCD,○ LCD,○ LCD,○ LCD,○ LCD,○ LCD,○ LCD,○ LCD,○ LCD,-,-
互联/智能化,互联/智能化,后排液晶屏幕分辨率,後席液晶画面解像度,● 3K,● 3K,● 3K,● 3K,● 3K,● 3K,● 3K,-,● 3K,● 3K,● 3K,-,-,● 3K,● 3K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,互联/智能化,后排多媒体屏幕数量,後部座席用マルチメディア画面数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 2個,● 1個,● 1個,● 1個,-,-,● 1個,● 1個,-,○ 1個,○ 1個,-,-,-,○ 1個,○ 1個,○ 1個,○ 1個,○ 1個,○ 1個,○ 1個,○ 1個,○ 1個,-,-
互联/智能化,互联/智能化,后排控制多媒体,後部座席マルチメディア操作,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,互联/智能化,多指飞屏操控,マルチタッチ画面操作,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,互联/智能化,触屏振动反馈,タッチスクリーン振動フィードバック,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,互联/智能化,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
