セクション,セクション_ja,項目,項目_ja,2026年モデル 530km AIRエリート版,2026年モデル 雅宇版,2026年モデル 540km エリート版,2026年モデル 540km エリート4エアバッグ版,2026年モデル 530 越享型,2026年モデル 530 尊享型,2026年モデル 530km AIR,2025年モデル 110 長距離快適型,2025年モデル 205 超長距離快適型,2025年モデル 205 超長距離プレミアム型,2025年モデル 205 超長距離ラグジュアリー型,2025年モデル 430 ライト快適型,2025年モデル 430 快適型,2025年モデル 430 快適＋型,2025年モデル 518 快適型,2025年モデル 518 快適型 チャンピオン版,2025年モデル 430 快適型 エクセレント版,2025年モデル 518 風捷版,2025年モデル 518 プレミアム型,2025年モデル 518 プレミアム型 チャンピオン版,2025年モデル 改良版 518 エグゼクティブ版,2024年モデル 205 睿驰版,2024年モデル 205 臻享版,2024年モデル 518 フラッグシップ版,2024年モデル 110 Pro,2024年モデル 205 Air,2024年モデル 205 Pro,2024年モデル 205 Plus,2024年モデル 518 Air,2024年モデル 518 Pro
互联/智能化,コネクティビティ/スマート機能,车机智能芯片,車載スマートチップ,-,● Qualcomm Snapdragon 8155,-,-,-,● Qualcomm Snapdragon 8155,-,-,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,-,○ Qualcomm Snapdragon 8155,○ Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,○ Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,○ Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,○ Qualcomm Snapdragon 8155,○ Qualcomm Snapdragon 8155
互联/智能化,コネクティビティ/スマート機能,车联网,車載ネットワーク（コネクテッドカー）,-,●,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G／5Gネットワーク,-,● 4G,-,-,● 4G,● 4G,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,-,●,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,-,●,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,-,"● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）",-,-,"● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）",-,"● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両検索
● マルチメディア操作
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリングホイール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10インチ,● 10インチ,● 10.25インチ,● 10.25インチ,● 10インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○,-,○,○,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,● 前席,-,-,-,-,● 前席,-,-,-,-,-,-,-,-,-,● 前席,-,● 前席,-,-,-,-,● 前席,-,-
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,-,-,-,● 50W,-,-,-,-,● 50W,-,-,-,-,-,-,-,-,-,● 50W,-,● 50W,-,-,-,-,● 50W,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,運転席 ● / 助手席,-,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席 ●,-,-,-,運転席 ● / 助手席,運転席 ● / 助手席 ●,-,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席,運転席 ● / 助手席 ●,運転席 ● / 助手席,運転席 ● / 助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,-,-,"● 加熱
● 通風（運転席のみ）",-,-,-,-,"● 加熱
● 通風（運転席のみ）",-,-,-,-,-,-,-,"● 加熱（運転席のみ）
● 通風（運転席のみ）","● 加熱（運転席のみ）
● 通風（運転席のみ）","● 加熱（運転席のみ）
● 通風（運転席のみ）",-,"● 加熱
● 通風（運転席のみ）","● 加熱（運転席のみ）
● 通風（運転席のみ）",-,-,-,"● 加熱
● 通風（運転席のみ）",-,"● 加熱（運転席のみ）
● 通風（運転席のみ）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,● 運転席,-,-,-,-,● 運転席,-,-,-,-,-,-,-,-,-,-,-,● 運転席,-,● 運転席,-,-,● 運転席,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後 ●,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後 ●,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後 ●,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後 ●,前 ● / 後,前 ● / 後
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,-,-,●,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 6スピーカー,● 4スピーカー,● 4スピーカー,● 6スピーカー,● 6スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 6スピーカー,● 13スピーカー,● 4スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 13スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 13スピーカー,● 6スピーカー,● 6スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,-,-,-,-,-,● 128色,-,-,-,-,-,-,-,-,-,●,-,● 128色,-,-,-,-,● 128色,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,-,-,-,-,-,●,-,-,-,-,-,-,●,●,-,-,●,-,●,●,●,-,-,●,-,-,-,-,-,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,-,●,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,-,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,-,–,–,–,–,–,–,–,–,–
