セクション,セクション_ja,項目,項目_ja,2026年モデル 改良版 1.6L MT 標準軸 快適型 5人乗り,2026年モデル 改良版 1.6L MT 標準軸 快適型 7人乗り,2026年モデル 改良版 1.6L MT 標準軸 豪華型 7人乗り,2026年モデル 改良版 1.6L MT 標準軸 中級営業用 7人乗り,2026年モデル 改良版 1.6L MT 標準軸 中級営業用 8人乗り,2026年モデル 改良版 1.6L MT ロング軸 快適型 5人乗り,2026年モデル 改良版 1.6L MT ロング軸 快適型 7人乗り,2026年モデル 改良版 2.0L MT 標準軸 豪華型 7人乗り,2026年モデル 2.0L MT ロング軸 快適型 7人乗り CNG,2026年モデル 2.0L MT ロング軸 エリート版 7人乗り CNG,2026年モデル 2.0L MT ロング軸 エリート版 9人乗り CNG,2026年モデル 2.0L ロング軸 中級営業用 快適版 7人乗り CNG,2026年モデル 2.0L ロング軸 中級営業用 快適版 8人乗り CNG,2026年モデル 2.0L ロング軸 中級営業用 快適版 9人乗り CNG,2026年モデル 2.0L AT ロング軸 新年版 7人乗り,2026年モデル 2.0L AT ロング軸 新年版 9人乗り,2026年モデル 2.0L キャンピングカー 美途版 5人乗り,2026年モデル 2.0L キャンピングカー 軽旅版 5人乗り,2026年モデル 改良版 2.0L AT ロング軸 豪華型 7人乗り,2026年モデル 改良版 2.0L AT ロング軸 豪華型 9人乗り,2026年モデル 改良版 2.0L AT ロング軸 フラッグシップ型 7人乗り,2026年モデル 改良版 2.0L AT ロング軸 フラッグシップ型 9人乗り,2026年モデル 改良版 2.0L AT ロング軸 中級営業用 7人乗り,2026年モデル 改良版 2.0L AT ロング軸 中級営業用 9人乗り,2026年モデル 改良版 2.0L MT ロング軸 基本型 ブラインドウィンドウ版 2人乗り,2026年モデル 改良版 2.0L MT ロング軸 快適型 7人乗り,2026年モデル 改良版 2.0L MT ロング軸 豪華型 7人乗り,2026年モデル 改良版 2.0L MT ロング軸 豪華型 9人乗り,2026年モデル 改良版 2.0L MT ロング軸 中級営業用 7人乗り,2026年モデル 改良版 2.0L MT ロング軸 中級営業用 8人乗り,2026年モデル 改良版 2.0L MT ロング軸 中級営業用 9人乗り,2026年モデル 2.0L AT ロング軸 豪華型 7人乗り,2026年モデル 2.0L AT ロング軸 豪華型 9人乗り,2026年モデル 2.0L AT ロング軸 フラッグシップ型 7人乗り,2026年モデル 2.0L AT ロング軸 フラッグシップ型 9人乗り,2026年モデル 2.0L AT ロング軸 中級営業用 7人乗り,2026年モデル 2.0L AT ロング軸 中級営業用 9人乗り,2026年モデル 1.6L MT 標準軸 快適型 5人乗り,2026年モデル 1.6L MT 標準軸 快適型 7人乗り,2026年モデル 1.6L MT 標準軸 豪華型 7人乗り,2026年モデル 1.6L MT 標準軸 中級営業用 7人乗り,2026年モデル 1.6L MT 標準軸 中級営業用 8人乗り,2026年モデル 2.0L MT 標準軸 豪華型 7人乗り,2026年モデル 1.6L MT ロング軸 快適型 5人乗り,2026年モデル 1.6L MT ロング軸 快適型 7人乗り,2026年モデル 2.0L MT ロング軸 基本型 ブラインドウィンドウ版 2人乗り,2026年モデル 2.0L MT ロング軸 快適型 7人乗り,2026年モデル 2.0L MT ロング軸 豪華型 7人乗り,2026年モデル 2.0L MT ロング軸 豪華型 9人乗り,2026年モデル 2.0L MT ロング軸 中級営業用 7人乗り,2026年モデル 2.0L MT ロング軸 中級営業用 8人乗り,2026年モデル 2.0L MT ロング軸 中級営業用 9人乗り,2025年モデル 2.0L CNG 基本版 2人乗り,2025年モデル 2.0L CNG 快適型 6人乗り,2025年モデル 2.0L CNG 快適型 7人乗り,2025年モデル 2.0L CNG エリート版 7人乗り,2025年モデル 2.0L CNG エリート版 9人乗り,2025年モデル 2.0L CNG 中級営業用 快適版 7人乗り,2025年モデル 2.0L CNG 中級営業用 快適版 8人乗り,2025年モデル 2.0L CNG 中級営業用 快適版 9人乗り,2025年モデル 2.0L CNG 中級営業用ラグジュアリー 7人乗り,2025年モデル 2.0L CNG 中級営業用ラグジュアリー 9人乗り,2025年モデル 2.0L CNG 上級営業用ラグジュアリー 7人乗り,2025年モデル 2.0L CNG 上級営業用ラグジュアリー 9人乗り,2025年モデル 1.6L MT 標準軸 快適タイプ 5人乗り,2025年モデル 1.6L MT 標準軸 ラグジュアリー 7人乗り,2025年モデル 1.6L MT 標準軸 中級営業用 7人乗り,2025年モデル 1.6L MT 標準軸 中級営業用 8人乗り,2025年モデル 2.0L MT 標準軸 ラグジュアリー 7人乗り,2025年モデル 2.0L MT 標準軸 中級営業用 7人乗り,2025年モデル 2.0L MT 標準軸 中級営業用 8人乗り,2025年モデル 1.6L MT ロング軸 快適タイプ 5人乗り,2025年モデル 1.6L MT ロング軸 快適タイプ 6・7人乗り,2025年モデル 2.0L MT ロング軸 ブラインドウィンドウ 基本タイプ 2人乗り,2025年モデル 2.0L MT ロング軸 快適タイプ 6・7人乗り,2025年モデル 2.0L MT ロング軸 ラグジュアリー 7人乗り,2025年モデル 2.0L MT ロング軸 ラグジュアリー 9人乗り,2025年モデル 2.0L MT ロング軸 中級営業用 7人乗り,2025年モデル 2.0L MT ロング軸 中級営業用 8・9人乗り,2025年モデル 2.0L AT ロング軸 ラグジュアリー 7人乗り,2025年モデル 2.0L AT ロング軸 ラグジュアリー 9人乗り,2025年モデル 2.0L AT ロング軸 フラッグシップ 7人乗り,2025年モデル 2.0L AT ロング軸 フラッグシップ 9人乗り,2025年モデル 2.0L AT ロング軸 中級営業用 7人乗り,2025年モデル 2.0L AT ロング軸 中級営業用 9人乗り,2025年モデル 2.0L AT ロング軸 上級営業用 7人乗り,2025年モデル 2.0L AT ロング軸 上級営業用 9人乗り,2025年モデル 2.0L AT ロング軸 プレミアム 7人乗り,2025年モデル 2.0L CNG 上級営業用 プレミアム 7人乗り,2024年モデル 1.6L ロング軸 創富タイプ 6人乗り,2024年モデル 1.6L ロング軸 創富タイプ 7人乗り,2024年モデル 1.6L ロング軸 創享タイプ 9人乗り,2024年モデル 2.0L ロング軸 創富タイプ 7人乗り,2024年モデル 1.6L ロング軸 ラグジュアリー営業用 9人乗り,2024年モデル 2.0L ロング軸 中級営業用 7人乗り,2024年モデル 2.0L ロング軸 中級営業用 9人乗り,2024年モデル 2.0L ロング軸 プレミアム 7人乗り,2023年モデル 1.6L 標準軸 創富タイプ 7人乗り,2023年モデル 2.0L ロング軸 行政仕様 7人乗り,2023年モデル 2.0L ロング軸 行政仕様 9人乗り,2023年モデル 1.6L ロング軸 配車アプリ専用カスタム 7人乗り,2023年モデル 2.0L ロング軸 配車アプリ専用カスタム 7人乗り,2023年モデル 2.0L CNG ロング軸 ラグジュアリー営業用 9人乗り 連結シート
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りMPV,4ドア7人乗りMPV,4ドア7人乗りMPV,4ドア7人乗りMPV,4ドア8人乗りMPV,4ドア5人乗りMPV,4ドア7人乗りMPV,4ドア7人乗りMPV,4ドア7人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア8人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア5人乗りMPV,4ドア5人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア2人乗り貨物車,4ドア7人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア8人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア5人乗りMPV,4ドア7人乗りMPV,4ドア7人乗りMPV,4ドア7人乗りMPV,4ドア8人乗りMPV,4ドア7人乗りMPV,4ドア5人乗りMPV,4ドア7人乗りMPV,4ドア2人乗り貨物車,4ドア7人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア8人乗りMPV,4ドア9人乗りMPV,4ドア2人乗り貨物車,4ドア6人乗りMPV,4ドア7人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア8人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア5人乗りMPV,4ドア7人乗りMPV,4ドア7人乗りMPV,4ドア8人乗りMPV,4ドア7人乗りMPV,4ドア7人乗りMPV,4ドア8人乗りMPV,4ドア5人乗りMPV,4ドア6/7人乗りMPV,4ドア2人乗り貨物車,4ドア6/7人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア8/9人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア7人乗りMPV,4ドア6人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア7人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV,4ドア7人乗りMPV,4ドア7人乗りMPV,4ドア9人乗りMPV
基本参数,基本仕様,发动机,エンジン,1.6L 117馬力 L4,1.6L 117馬力 L4,1.6L 117馬力 L4,1.6L 117馬力 L4,1.6L 117馬力 L4,1.6L 117馬力 L4,1.6L 117馬力 L4,1.6L 117馬力 L4,2.0L 122馬力 L4,2.0L 122馬力 L4,2.0L 122馬力 L4,2.0L 122馬力 L4,2.0L 122馬力 L4,2.0L 122馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,1.6L 117馬力 L4,1.6L 117馬力 L4,1.6L 117馬力 L4,1.6L 117馬力 L4,1.6L 117馬力 L4,2.0L 144馬力 L4,1.6L 117馬力 L4,1.6L 117馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 122馬力 L4,2.0L 122馬力 L4,2.0L 122馬力 L4,2.0L 122馬力 L4,2.0L 122馬力 L4,2.0L 122馬力 L4,2.0L 122馬力 L4,2.0L 122馬力 L4,2.0L 122馬力 L4,2.0L 122馬力 L4,2.0L 122馬力 L4,2.0L 122馬力 L4,1.6L 124馬力 L4,1.6L 124馬力 L4,1.6L 124馬力 L4,1.6L 124馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,1.6L 124馬力 L4,1.6L 124馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 122馬力 L4,1.6L 124馬力 L4,1.6L 124馬力 L4,1.6L 124馬力 L4,2.0L 144馬力 L4,1.6L 124馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,1.6L 124馬力 L4,2.0L 144馬力 L4,2.0L 144馬力 L4,1.6L 124馬力 L4,2.0L 144馬力 L4,2.0L 122馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4880*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,5240*1870*1950,5240*1870*1950,4880*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,4880*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),140,140,140,100,100,140,140,140,140,140,140,100,100,100,140,140,140,140,140,140,140,140,100,100,140,140,140,140,100,100,100,140,140,140,140,100,100,140,140,140,100,100,140,140,140,140,140,140,140,100,100,100,140,140,140,140,140,100,100,100,100,100,100,100,140,140,100,100,140,100,100,140,140,140,140,140,140,100,100,140,140,140,140,100,100,100,100,140,100,140,140,140,140,100,140,140,160,140,140,140,140,140,100
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.4,9.4,-,-,-,-,7.5,7.5,9.3,9.4,9.3,9.4,9.4,-,7.5,9.4,9.4,9.3,9.4,-
基本参数,基本仕様,整车质保,車両保証,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 3年または6万km,● 3年または6万km,● 3年または6万km,● 3年または6万km,● 3年または6万km,● 3年または6万km,● 3年または6万km,● 3年または6万km,● 3年または6万km,● 3年または6万km,● 3年または6万km,● 3年または6万km,● 3年または6万km,● 3年または6万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1480,1520,1520,1555,1555,1525,1605,1520,1890,1890,1890,1910,1910,1910,1740,1740,1910,1910,1740,1740,1740,1740,1740,1740,1520,1640,1700,1700,1710,1710,1710,1740,1740,1740,1740,1740,1740,1480,1520,1520,1555,1555,1605,1525,1605,1520,1640,1700,1700,1710,1710,1710,1745,1890,1890,1890,1890,1910,1910,1910,1910,1910,1980,1980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1700,1700,-,-,1740,1980,1575,1520,1605,1640,1630,1700,1700,1740,1520,1700,1700,1605,1640,1910
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1855,2160,2160,2060,2060,1900,2315,2160,2415,2415,2415,2585,2585,2585,2430,2430,2505,2505,2430,2430,2430,2430,2430,2430,2390,2390,2390,2390,2390,2390,2390,2430,2430,2430,2430,2430,2430,1855,2160,2160,2060,2060,2215,1900,2315,2390,2390,2390,2390,2390,2390,2390,2655,2415,2415,2415,2415,2585,2585,2585,2585,2585,2655,2655,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2390,2390,-,-,2430,2655,2315,2160,2315,2390,2315,2390,2390,2430,2160,2390,2390,2315,2390,2585
车身,車体,长度(mm),全長(mm),4880,4880,4880,4880,4880,5240,5240,4880,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,4880,4880,4880,4880,4880,4880,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,4880,4880,4880,4880,4880,4880,4880,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,4880,5240,5240,5240,5240,5240
车身,車体,宽度(mm),全幅(mm),1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870
车身,車体,高度(mm),全高(mm),1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950
车身,車体,轴距(mm),ホイールベース(mm),2880,2880,2880,2880,2880,3200,3200,2880,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,2880,2880,2880,2880,2880,2880,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,2880,2880,2880,2880,2880,2880,2880,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,2880,3200,3200,3200,3200,3200,3200,2880,3200,3200,3200,3200,3200
车身,車体,前轮距(mm),前トレッド(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
车身,車体,后轮距(mm),後トレッド(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
车身,車体,接近角(°),アプローチアングル(°),21,21,21,21,21,22,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,22,-,-,22,-,21,21,22,22,22,22,22,22,21,22,22,22,22,22
车身,車体,离去角(°),デパーチャーアングル(°),20,20,20,20,20,19,19,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,19,-,-,19,-,20,20,19,19,19,19,19,19,20,19,19,19,19,19
车身,車体,车身结构,ボディ構造,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,貨物車,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,貨物車,MPV,MPV,MPV,MPV,MPV,MPV,貨物車,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,貨物車,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身,車体,车门开启方式,ドア開閉方式,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア,観音開き+スライドドア
