セクション,項目,锐胜王牌M7 2026款 改款 1.6L 手动标轴舒适型 5座,锐胜王牌M7 2026款 改款 1.6L 手动标轴舒适型 7座,锐胜王牌M7 2026款 改款 1.6L 手动标轴豪华型 7座,锐胜王牌M7 2026款 改款 1.6L 手动标轴中级营运 7座,锐胜王牌M7 2026款 改款 1.6L 手动标轴中级营运 8座,锐胜王牌M7 2026款 改款 1.6L 手动长轴舒适型 5座,锐胜王牌M7 2026款 改款 1.6L 手动长轴舒适型 7座,锐胜王牌M7 2026款 改款 2.0L 手动标轴豪华型 7座,锐胜王牌M7 2026款 2.0L 手动长轴舒适型 7座 CNG,锐胜王牌M7 2026款 2.0L 手动长轴精英版 7座 CNG,锐胜王牌M7 2026款 2.0L 手动长轴精英版 9座 CNG,锐胜王牌M7 2026款 2.0L 长轴中级营运舒适版 7座 CNG,锐胜王牌M7 2026款 2.0L 长轴中级营运舒适版 8座 CNG,锐胜王牌M7 2026款 2.0L 长轴中级营运舒适版 9座 CNG,锐胜王牌M7 2026款 2.0L 自动长轴贺岁版 7座,锐胜王牌M7 2026款 2.0L 自动长轴贺岁版 9座,锐胜王牌M7 2026款 2.0L 宿营车 美途版 5座,锐胜王牌M7 2026款 2.0L 宿营车 轻旅版 5座,锐胜王牌M7 2026款 改款 2.0L 自动长轴豪华型 7座,锐胜王牌M7 2026款 改款 2.0L 自动长轴豪华型 9座,锐胜王牌M7 2026款 改款 2.0L 自动长轴旗舰型 7座,锐胜王牌M7 2026款 改款 2.0L 自动长轴旗舰型 9座,锐胜王牌M7 2026款 改款 2.0L 自动长轴中级营运 7座,锐胜王牌M7 2026款 改款 2.0L 自动长轴中级营运 9座,锐胜王牌M7 2026款 改款 2.0L 手动长轴基本型盲窗版 2座,锐胜王牌M7 2026款 改款 2.0L 手动长轴舒适型 7座,锐胜王牌M7 2026款 改款 2.0L 手动长轴豪华型 7座,锐胜王牌M7 2026款 改款 2.0L 手动长轴豪华型 9座,锐胜王牌M7 2026款 改款 2.0L 手动长轴中级营运版 7座,锐胜王牌M7 2026款 改款 2.0L 手动长轴中级营运版 8座,锐胜王牌M7 2026款 改款 2.0L 手动长轴中级营运版 9座,锐胜王牌M7 2026款 2.0L 自动长轴豪华型 7座,锐胜王牌M7 2026款 2.0L 自动长轴豪华型 9座,锐胜王牌M7 2026款 2.0L 自动长轴旗舰型 7座,锐胜王牌M7 2026款 2.0L 自动长轴旗舰型 9座,锐胜王牌M7 2026款 2.0L 自动长轴中级营运 7座,锐胜王牌M7 2026款 2.0L 自动长轴中级营运 9座,锐胜王牌M7 2026款 1.6L 手动标轴舒适型 5座,锐胜王牌M7 2026款 1.6L 手动标轴舒适型 7座,锐胜王牌M7 2026款 1.6L 手动标轴豪华型 7座,锐胜王牌M7 2026款 1.6L 手动标轴中级营运 7座,锐胜王牌M7 2026款 1.6L 手动标轴中级营运 8座,锐胜王牌M7 2026款 2.0L 手动标轴豪华型 7座,锐胜王牌M7 2026款 1.6L 手动长轴舒适型 5座,锐胜王牌M7 2026款 1.6L 手动长轴舒适型 7座,锐胜王牌M7 2026款 2.0L 手动长轴基本型盲窗版 2座,锐胜王牌M7 2026款 2.0L 手动长轴舒适型 7座,锐胜王牌M7 2026款 2.0L 手动长轴豪华型 7座,锐胜王牌M7 2026款 2.0L 手动长轴豪华型 9座,锐胜王牌M7 2026款 2.0L 手动长轴中级营运版 7座,锐胜王牌M7 2026款 2.0L 手动长轴中级营运版 8座,锐胜王牌M7 2026款 2.0L 手动长轴中级营运版 9座,锐胜王牌M7 2025款 2.0L CNG基本版 2座,锐胜王牌M7 2025款 2.0L CNG舒适型 6座,锐胜王牌M7 2025款 2.0L CNG舒适型 7座,锐胜王牌M7 2025款 2.0L CNG精英版 7座,锐胜王牌M7 2025款 2.0L CNG精英版 9座,锐胜王牌M7 2025款 2.0L CNG中级营运舒适版 7座,锐胜王牌M7 2025款 2.0L CNG中级营运舒适版 8座,锐胜王牌M7 2025款 2.0L CNG中级营运舒适版 9座,锐胜王牌M7 2025款 2.0L CNG中级营运豪华版 7座,锐胜王牌M7 2025款 2.0L CNG中级营运豪华版 9座,锐胜王牌M7 2025款 2.0L CNG高级营运豪华版 7座,锐胜王牌M7 2025款 2.0L CNG高级营运豪华版 9座,锐胜王牌M7 2025款 1.6L 手动标轴舒适型 5座,锐胜王牌M7 2025款 1.6L 手动标轴豪华型 7座,锐胜王牌M7 2025款 1.6L 手动标轴中级营运 7座,锐胜王牌M7 2025款 1.6L 手动标轴中级营运 8座,锐胜王牌M7 2025款 2.0L 手动标轴豪华型 7座,锐胜王牌M7 2025款 2.0L 手动标轴中级营运 7座,锐胜王牌M7 2025款 2.0L 手动标轴中级营运 8座,锐胜王牌M7 2025款 1.6L 手动长轴舒适型 5座,锐胜王牌M7 2025款 1.6L 手动长轴舒适型 6/7座,锐胜王牌M7 2025款 2.0L 手动长轴盲窗基本型 2座,锐胜王牌M7 2025款 2.0L 手动长轴舒适型 6/7座,锐胜王牌M7 2025款 2.0L 手动长轴豪华型 7座,锐胜王牌M7 2025款 2.0L 手动长轴豪华型 9座,锐胜王牌M7 2025款 2.0L 手动长轴中级营运 7座,锐胜王牌M7 2025款 2.0L 手动长轴中级营运 8/9座,锐胜王牌M7 2025款 2.0L 自动长轴豪华型 7座,锐胜王牌M7 2025款 2.0L 自动长轴豪华型 9座,锐胜王牌M7 2025款 2.0L 自动长轴旗舰型 7座,锐胜王牌M7 2025款 2.0L 自动长轴旗舰型 9座,锐胜王牌M7 2025款 2.0L 自动长轴中级营运版 7座,锐胜王牌M7 2025款 2.0L 自动长轴中级营运版 9座,锐胜王牌M7 2025款 2.0L 自动长轴高级营运 7座,锐胜王牌M7 2025款 2.0L 自动长轴高级营运 9座,锐胜王牌M7 2025款 2.0L 自动长轴至尊版 7座,锐胜王牌M7 2025款 2.0L CNG高级营运尊贵版 7座,锐胜王牌M7 2024款 1.6L 长轴创富型 6座,锐胜王牌M7 2024款 1.6L 长轴创富型 7座,锐胜王牌M7 2024款 1.6L 长轴创享型 9座,锐胜王牌M7 2024款 2.0L 长轴创富型 7座,锐胜王牌M7 2024款 1.6L 长轴豪华营运版 9座,锐胜王牌M7 2024款 2.0L 长轴中级营运版 7座,锐胜王牌M7 2024款 2.0L 长轴中级营运版 9座,锐胜王牌M7 2024款 2.0L 长轴至尊版 7座,锐胜王牌M7 2023款 1.6L 标轴创富型 7座,锐胜王牌M7 2023款 2.0L 长轴行政版 7座,锐胜王牌M7 2023款 2.0L 长轴行政版 9座,锐胜王牌M7 2023款 1.6L 长轴网约车定制版 7座,锐胜王牌M7 2023款 2.0L 长轴网约车定制版 7座,锐胜王牌M7 2023款 2.0L CNG长轴豪华营运版 9座联排座椅
车轮制动,备胎规格,-,-,-,-,-,-,-,-,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 无,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 无,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 全尺寸,● 无
被动安全,主/副驾驶座安全气囊,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副-,主 ● /副 ●
被动安全,前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),-,-,-,●,●,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,●,●,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●,●,-,-,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,-,●,●,-,-,●
主动安全,牵引力控制(ASR/TCS/TRC等),-,-,-,●,●,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,●,●,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●,●,-,-,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,-,●,●,-,-,●
主动安全,车身稳定控制(ESC/ESP/DSC等),-,-,-,●,●,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,●,●,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●,●,-,-,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,-,●,●,-,-,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 前排,● 前排,● 前排,● 前排,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 前排,● 前排,● 前排,● 前排,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 前排,● 前排,● 前排,● 前排,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 前排,● 前排,● 前排,● 主驾驶位,● 前排,● 前排,● 主驾驶位,● 主驾驶位,● 主驾驶位
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,●,●,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-,●,●,●,●,-,-,-,-,●,●,●,-,-,●,●,●,●,-,-,-,●,●,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●,●,-,-,●,●,-,●,●,-,-,-,-,-,-,●,●,-,-,●,●,●,●,●,●,-,●,-,-,-,-,●,●,●,-,-,-,-,-,-,●
主动安全,主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,DOW开门预警,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,后方碰撞预警,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-
驾驶操控,上坡辅助,-,-,-,●,●,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,●,●,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,●,●,-,-,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,-,●,●,-,-,●
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●
驾驶硬件,驾驶辅助影像,○ 倒车影像,○ 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,○ 倒车影像,○ 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 倒车影像,○ 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 倒车影像,○ 倒车影像,○ 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,○ 倒车影像,○ 倒车影像,● 倒车影像,○ 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,○ 倒车影像,○ 倒车影像,○ 倒车影像,○ 倒车影像,○ 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,○ 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,○ 倒车影像,○ 倒车影像,○ 倒车影像,○ 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 倒车影像,-,-,● 倒车影像,-,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,-,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像
驾驶硬件,摄像头数量,○ 1个,○ 1个,● 1个,● 1个,● 1个,○ 1个,○ 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,-,-,● 1个,● 1个,● 4个,● 4个,● 1个,● 1个,● 1个,○ 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 4个,● 4个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,○ 1个,○ 1个,○ 1个,○ 1个,○ 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,○ 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,○ 1个,○ 1个,● 1个,● 1个,● 1个,● 1个,-,-,-,-,● 1个,● 1个,-,-,● 1个,● 1个,-,-,● 1个,-,● 1个,● 1个,● 1个,● 1个,-,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,-,-,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个
驾驶功能,巡航系统,-,-,-,-,-,-,-,-,-,-,-,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,-,-,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,-,-,-,-,-,-,-,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 自适应巡航,● 自适应巡航,● 定速巡航,● 定速巡航,-,-,-,-,-,● 定速巡航,● 定速巡航,● 定速巡航,-,-,-,-,-,-
驾驶功能,辅助驾驶等级,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● L2,● L2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,卫星导航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
