セクション,項目,捷途旅行者 2026款 1.5TD 探索,捷途旅行者 2026款 1.5TD 探索+,捷途旅行者 2026款 2.0TD XWD 发现,捷途旅行者 2026款 2.0TD XWD 穿越,捷途旅行者 2026款 2.0TD XWD 征服,捷途旅行者 2026款 2.0TD XWD 远征,捷途旅行者 2026款 2.0TD XWD 悦野,捷途旅行者 2026款 2.0TD DCT 骏马版 XWD发现,捷途旅行者 2026款 2.0TD DCT 骏马版 XWD穿越,捷途旅行者 2026款 PLUS 2.0TD XWD征服 5座,捷途旅行者 2026款 PLUS 2.0TD XWD征服 7座,捷途旅行者 2026款 PLUS 2.0TD XWD征服+ 5座,捷途旅行者 2026款 PLUS 2.0TD XWD征服+ 7座,捷途旅行者 2026款 1.5TD DCT 骏马版 探索+,捷途旅行者 2025款 1.5TD DCT 探索+畅行版,捷途旅行者 2025款 2.0TD DCT 四驱星际卫士,捷途旅行者 2025款 2.0TD DCT XWD 发现畅行版,捷途旅行者 2025款 2.0TD XWD 自动征服+畅行版,捷途旅行者 2025款 1.5TD DCT两驱探索,捷途旅行者 2025款 1.5TD DCT两驱探索+,捷途旅行者 2025款 2.0TD DCT XWD发现,捷途旅行者 2025款 2.0TD DCT XWD穿越,捷途旅行者 2025款 2.0TD DCT XWD穿越+,捷途旅行者 2025款 2.0TD XWD 自动悦野,捷途旅行者 2025款 2.0TD XWD 自动征服,捷途旅行者 2025款 2.0TD XWD 自动征服加长版 7座,捷途旅行者 2025款 2.0TD XWD 自动征服+,捷途旅行者 2025款 2.0TD XWD 自动征服+加长版 7座,捷途旅行者 2025款 2.0T DCT 星月女神,捷途旅行者 2025款 2.0T 自动四驱20万纪念版,捷途旅行者 2025款 2.0TD DCT 四驱银龙之翼Air,捷途旅行者 2024款 2.0T 四驱悦野PRO,捷途旅行者 2024款 2.0T 四驱穿越PRO娱乐版,捷途旅行者 2024款 2.0T 四驱穿越PRO+娱乐版,捷途旅行者 2024款 2.0T 四驱和平精英战神版,捷途旅行者 2023款 1.5T 两驱发现PRO
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
○ 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
○ 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
○ 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
○ 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车"
互联/智能化,主动降噪,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,车载KTV,●,●,●,●,●,●,●,●,●,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,●,●,●,●,-,●,-,-,●,●,-,-,-,-,●,-,-,-,-,●,-,-,-,●,●,●,●,●,-,-,●,●,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,-,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目
方向盘/内后视镜,ETC装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,○,-,○,-,-,○,-,○,○,○,○,-,○,-,-,-,-,-,○
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排4个/后排2个,● 前排2个/后排2个,● 前排4个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,220V/230V电源,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
车内充电,手机无线充电功能,-,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,● 前排,● 前排,-,● 前排,-,● 前排,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,-,-,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,-,● 50W,● 50W,-,● 50W,-,● 50W,-,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,"● 仿皮
○ 皮/织物混搭",● 仿皮,"● 仿皮
○ 皮/织物混搭","● 仿皮
○ 皮/翻毛材质混搭",● 仿皮,"● 仿皮
○ 皮/织物混搭","● 仿皮
○ 皮/织物混搭","● 仿皮
○ 皮/翻毛材质混搭","● 仿皮
○ 皮/翻毛材质混搭","● 仿皮
○ 皮/翻毛材质混搭","● 仿皮
○ 皮/翻毛材质混搭","● 仿皮
○ 皮/翻毛材质混搭","● 仿皮
○ 皮/翻毛材质混搭","● 仿皮
○ 皮/翻毛材质混搭",● 仿皮,● 仿皮,"● 仿皮
○ 皮/翻毛材质混搭","● 仿皮
○ 皮/织物混搭",● 仿皮,● 仿皮,"● 仿皮
○ 皮/翻毛材质混搭","● 仿皮
○ 皮/织物混搭"
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副-,-,主 ● /副 ●,-,主 ● /副 ●,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,-
座椅配置,前排座椅功能,-,-,● 加热,"● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)",● 加热,"● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)",-,-,"● 加热
● 通风",-,"● 加热
● 通风
● 按摩(仅驾驶位)",-,-,-,"○ 加热
● 通风","● 加热
● 通风
● 按摩(仅驾驶位)","○ 加热
● 通风","○ 加热
● 通风
● 按摩(仅驾驶位)","○ 加热
○ 通风
● 通风(仅驾驶位)
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)","○ 加热
○ 通风
● 通风(仅驾驶位)",● 通风(仅驾驶位),"● 加热
● 通风","● 加热
● 通风",-
座椅配置,电动座椅记忆功能,-,● 驾驶位,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位",● 驾驶位,-,● 驾驶位,-,"● 驾驶位
● 副驾驶位",-,-,-,● 驾驶位,"● 驾驶位
● 副驾驶位",● 驾驶位,● 驾驶位,● 驾驶位,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位",● 驾驶位,● 驾驶位,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位",-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,-,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,● 加热,● 加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排小桌板,-,-,-,-,-,-,○,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,座椅布局,-,-,-,-,-,-,-,-,-,-,● 2-3-2,-,● 2-3-2,-,-,-,-,-,-,-,-,-,-,-,-,● 2-3-2,-,● 2-3-2,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,● SONY索尼,● SONY索尼,● SONY索尼,● SONY索尼,-,● SONY索尼,-,-,-,-,-,-,-,-,● SONY索尼,-,-,-,-,● SONY索尼,-,-,-,● SONY索尼,-,● SONY索尼,● SONY索尼,● SONY索尼,-,-,● SONY索尼,● SONY索尼,-
音响/车内灯光,扬声器数量,● 8喇叭,● 8喇叭,● 8喇叭,● 12喇叭,● 12喇叭,● 12喇叭,● 12喇叭,● 8喇叭,● 12喇叭,● 16喇叭,● 16喇叭,● 16喇叭,● 16喇叭,● 8喇叭,● 6喇叭,● 8喇叭,● 6喇叭,● 12喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 8喇叭,● 12喇叭,● 8喇叭,● 8喇叭,● 16喇叭,● 12喇叭,● 16喇叭,● 12喇叭,● 12喇叭,● 12喇叭,● 8喇叭,● 8喇叭,● 12喇叭,● 12喇叭,● 6喇叭
音响/车内灯光,车内环境氛围灯,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 单色,● 多色,-,● 多色,-,● 单色,-,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
