セクション,セクション_ja,項目,項目_ja,2026年モデル 1.5TD 探索,2026年モデル 1.5TD 探索+,2026年モデル 1.5TD DCT 駿馬版 探索+,2026年モデル 2.0TD XWD 発見,2026年モデル 2.0TD XWD 越境,2026年モデル 2.0TD XWD 征服,2026年モデル 2.0TD XWD 悦野,2026年モデル 2.0TD DCT 駿馬版 XWD 発見,2026年モデル 2.0TD DCT 駿馬版 XWD 越境,2025年モデル 1.5TD DCT 探索+ 快適版,2025年モデル 2.0TD DCT 4WD 星際衛士,2025年モデル 2.0TD DCT XWD 発見 快適版,2025年モデル 2.0TD XWD 自動 征服+ 快適版,2025年モデル 1.5TD DCT 2WD 探索,2025年モデル 1.5TD DCT 2WD 探索+,2025年モデル 2.0TD DCT XWD 発見,2025年モデル 2.0TD DCT XWD 越境,2025年モデル 2.0TD DCT XWD 越境+,2025年モデル 2.0TD XWD 自動 悦野,2025年モデル 2.0TD XWD 自動 征服,2025年モデル 2.0TD XWD 自動 征服 ロング版 7人乗り,2025年モデル 2.0TD XWD 自動 征服+,2025年モデル 2.0TD XWD 自動 征服+ ロング版 7人乗り,2025年モデル 2.0T DCT 星月女神,2025年モデル 2.0T 自動 4WD 20万記念版,2025年モデル 2.0TD DCT 4WD 銀龍の翼 Air,2024年モデル 2.0T 4WD 悦野PRO,2024年モデル 2.0T 4WD 越境PRO エンタメ版,2024年モデル 2.0T 4WD 越境PRO+ エンタメ版,2024年モデル 2.0T 4WD 平和精英 戦神版,2023年モデル 1.5T 2WD 発見PRO,2026年モデル 2.0TD XWD 征服 5人乗り,2026年モデル 2.0TD XWD 征服 7人乗り,2026年モデル 2.0TD XWD 征服+ 5人乗り,2026年モデル 2.0TD XWD 征服+ 7人乗り
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,-,● 開閉式パノラマサンルーフ,○ 開閉式パノラマサンルーフ（3000元）,● 開閉式パノラマサンルーフ,-,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体,● 車内全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインドウ多層防音ガラス,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,●,-,-,-,●,●,●,●,●,-,-,●,●,-,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー機能,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納"
互联/智能化,互联/智能化,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,互联/智能化,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ
互联/智能化,互联/智能化,副驾娱乐屏尺寸,助手席エンタメスクリーンサイズ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○ 10.33インチ,○ 10.33インチ,-,-,-,-,-,-
互联/智能化,互联/智能化,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,手机互联/映射,スマホ連携/ミラーリング,-,-,-,-,-,-,-,-,-,"● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応","● CarPlay対応
● HUAWEI HiCar対応",●,●,●,●,●,-,-,-,-
互联/智能化,互联/智能化,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
○ サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
○ シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
○ シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
○ シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
○ シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション
● シートマッサージ"
互联/智能化,互联/智能化,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）,● こんにちは、小捷（チャットボット名）
互联/智能化,互联/智能化,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン
互联/智能化,互联/智能化,语音连续识别,連続音声認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,可见即可说,見てすぐ話せる機能,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-
互联/智能化,互联/智能化,面部识别,顔認証,-,●,●,-,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
互联/智能化,互联/智能化,多指飞屏操控,マルチタッチ画面操作,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,互联/智能化,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
○ シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
○ シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
○ シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
○ シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● エアコン操作
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索"
